adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/dyFTt1a9ZpFdKE96kPlE9fQvXOJ.jpg,"[10751, 35, 18]",91759,['HK'],cn,愛·回家之開心速遞,"Hung Sue Gan starting from the bottom, established his own logistics company, which is now running smoothly. His only concern now are his three daughters. His eldest daughter has immigrated overseas. His second daughter Hung Yeuk Shui has reached the marriageable age, but has no hopes for marriage anytime soon. She is constantly bickering with her younger sister Hung Sum Yue, who is an honour student, over trivial matters, causing their father to not know whether to laugh or cry. Hung Sue Yan, Hung Sue Gan's brother, moves in with the family, temporarily ending his life as a nomadic photographer. He joins Hung Yeuk Shui's company and encounters Ko Pak Fei, the director of an online shop. The two appear to be former lovers, making for lots of laughter. Since Hung Sue Yan moved in, a series of strange events have occurred in the family. Upon investigation, the source is traced to Lung Ging Fung, a promising young man who is the son of department store mogul Lung Gam Wai.",585.6953,/lgD4j9gUGmMckZpWWRJjorWqGVT.jpg,2017-02-20,False,Come Home Love: Lo and Behold,5.435,46
False,/rJFqKcmMSttdNP58l0dVzY2NcTA.jpg,"[80, 18, 9648]",5920,['US'],en,The Mentalist,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",429.2205,/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,2008-09-23,False,The Mentalist,8.407,4746
False,/obtdxPgmfykYwVnvuYXC5f2xKlQ.jpg,"[80, 18, 9648]",2734,['US'],en,Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",459.9573,/iofokHZoUB4Qhik4PflvJl8TT6a.jpg,1999-09-20,False,Law & Order: Special Victims Unit,7.959,4357
False,/dfX2UaHVE5c7kLBFbgmEZJuy4Ev.jpg,"[10767, 35]",61818,['US'],en,Late Night with Seth Meyers,"Seth Meyers, who is ""Saturday Night Live's"" longest serving anchor on the show's wildly popular ""Weekend Update,"" takes over as host of NBC's ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".",394.2658,/u8VruEGv7mtyJihVn2CSA1u90pk.jpg,2014-02-25,False,Late Night with Seth Meyers,5.112,134
False,/iixxhk3ycXmFqBn616pAsC3lu53.jpg,"[16, 35]",1433,['US'],en,American Dad!,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",413.133,/eb9sH2am9IUSQ8GhXTNAVoujk8W.jpg,2005-02-06,False,American Dad!,7.019,2451
False,/ncQ8D4j8GSuL9CzncLEXnhHDxHy.jpg,"[16, 35]",456,['US'],en,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",411.3515,/uWpG7GqfKGQqX4YMAo3nv5OrglV.jpg,1989-12-17,False,The Simpsons,8.0,11024
False,/l7wShoIdIUwaDIbsHno9pO5MZXT.jpg,"[16, 35]",1434,['US'],en,Family Guy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",390.2893,/3PFsEuAiyLkWsP4GG6dIV37Q6gu.jpg,1999-01-31,False,Family Guy,7.411,5121
False,/kCd0rmnNwCd3sgupO9DqSi9aHa0.jpg,[10767],65270,['KR'],ko,라디오스타,"“Radio Star” is a South Korean music talk show where the guests and hosts talk openly and intimately about their lives, their pasts and their work. It is part of Munhwa Broadcasting Corporation's ""Golden Fishery"" programming block.",309.5015,/uRUZDsvUfIP3JUEgOC8ReBlQQUU.jpg,2007-05-30,False,Radio Star,5.5,6
False,/c1aBrG5s5xFa6Tbnihu2Hhj4t2q.jpg,"[80, 18, 10759]",4614,['US'],en,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has any connection to Navy and Marine Corps personnel, regardless of rank or position.",377.2471,/mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg,2003-09-23,False,NCIS,7.6,2572
False,/a8a8z4aJr40zYgRMfmSESppX2eO.jpg,"[10764, 35]",70672,['KR'],ko,아는 형님,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",302.2832,/2jIi55JtYKJTL1km8qHMuUilOWo.jpg,2015-12-05,False,Men on a Mission,7.4,42
False,/usLRh1bcbL0Q9X8zf6rL4OV1qrA.jpg,"[10759, 10765, 18]",2661,['JP'],ja,仮面ライダー,"Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.",308.3429,/2DIBDFHiKQawz4WPsYekl9DHwyA.jpg,1971-04-03,False,Kamen Rider,6.394,109
False,/jP0Rhj9OTPDAwQlHQwOLFDdeE8t.jpg,[18],1416,['US'],en,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,353.2833,/hjJkrLXhWvGHpLeLBDFznpBTY1S.jpg,2005-03-27,False,Grey's Anatomy,8.2,11055
False,/qLMfcvdCcCGD2BNLH8b6ZCBuO7D.jpg,"[10763, 35]",2224,['US'],en,The Daily Show,"The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",321.3057,/ixcfyK7it6FjRM36Te4OdblAq4X.jpg,1996-07-22,False,The Daily Show,6.405,663
False,/bk7QdAIUqkGpZO5GUX4AMB2AZIB.jpg,[10767],82873,['US'],en,The Kelly Clarkson Show,"Kelly Clarkson presents the biggest newsmakers and names in film, television and music; as well as emerging new talent and everyday people who are beacons of hope in their communities.",337.7521,/sBix25bie9UQFzbarN51DpFO5ky.jpg,2019-09-09,False,The Kelly Clarkson Show,6.233,73
False,/kGxPVyra9Lvf5tPmTXnMEBpwOip.jpg,"[18, 10766]",45789,['DE'],de,Sturm der Liebe,"These are the stories of relationships taking place in the fictional five-star hotel Fürstenhof, located in Feldkirchen-Westerham near Rosenheim with the plot revolving around members of the family room area, the hotel owners, and employees.",283.6752,/jfFNydakwvbeACEwSd2Gh8UWtba.jpg,2005-09-26,False,Storm of Love,6.0,39
False,/ro0tlgnsco4SwbdAgmscLkSlMSL.jpg,"[18, 9648, 10765]",1622,['US'],en,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",324.5377,/8iixmfGx5EIFPdpNvB2JvI3VIqX.jpg,2005-09-13,False,Supernatural,8.3,8694
False,Tidak tersedia,[10764],31472,['CL'],es,Pelotón,"Pelotón is a Chilean reality show on National Television of Chile in which the participants undergo an intense regime of military training. The winner receives 50 million pesos. The first season aired January 2 — May 5, 2007, and the second season ran from October 2, 2007 to March 11, 2008. The third season were premiere in July 2009 and the contestants were Chilean celebrities. The third and 4th season were shooting back to back, and like last season the majority of participants were celebrities.",240.8332,/2rTGn2CBavgioMVorVdZHgmdA2n.jpg,2007-01-02,False,Pelotón,9.0,1
False,/tUtXfyVy54BY7eJnRtI8Xnmr1ZL.jpg,"[80, 18, 9648]",4057,['US'],en,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",321.8468,/hWSb4UnIjlTvnvrP98NbFSO60HA.jpg,2005-09-22,False,Criminal Minds,8.295,4176
False,/6gqezQJ2mkm4jreWwLyOZy2Vf6i.jpg,"[18, 9648, 10765]",95350,['US'],en,Lanterns,"Two intergalactic cops, new recruit John Stewart and Lantern legend Hal Jordan, are drawn into a dark, Earth-based mystery as they investigate a murder in the American heartland.",306.4526,/gpC7h43xPMEV3goYMQShfJbTtLq.jpg,2026-08-16,False,Lanterns,8.267,401
False,/m0bV3qBiJBBlpFaaKjwHo13MVjm.jpg,"[35, 10767]",14981,['US'],en,The Late Late Show with Craig Ferguson,"The Late Late Show with Craig Ferguson is an American late-night talk show hosted by Scottish American comedian Craig Ferguson, who is the third regular host of the Late Late Show franchise. It follows Late Show with David Letterman in the CBS late-night lineup, airing weekdays in the US at 12:37 a.m. It is taped in front of a live studio audience from Monday to Friday at CBS Television City in Los Angeles, California, directly above the Bob Barker Studio. It is produced by David Letterman's production company Worldwide Pants Incorporated and CBS Television Studios.

Since becoming host on January 3, 2005, after Craig Kilborn and Tom Snyder, Ferguson has achieved the highest ratings since the show's inception in 1995. While the majority of the episodes focus on comedy, Ferguson has also addressed difficult subject matter, such as the deaths of his parents, and undertaken serious interviews, such as one with Desmond Tutu, which earned the show a 2009 Peabody Award.",307.5705,/gGC7zSDgG0FY0MbM1pjfhTCWQBI.jpg,2005-01-03,False,The Late Late Show with Craig Ferguson,6.852,122
False,/55tcKzl0gZ0lR1q7TrVJm0h9lkT.jpg,"[10764, 10751]",2912,['US'],en,Jeopardy!,"America's favorite quiz show where contestants are presented with general knowledge clues in the form of answers, and must phrase their responses in question form.",274.1586,/hfz0IgebqGENG6ZnuqKQKMFk2vy.jpg,1984-09-10,False,Jeopardy!,6.925,166
False,/gjRnFAQk4EVg1P1s5512FT1Lq9c.jpg,[10764],4656,['US'],en,Raw,"A regularly scheduled, live, year-round program featuring some of the biggest WWE Superstars.",269.3226,/fstEe6RsyNyPUnMwNcL20iNl0nE.jpg,1993-01-11,False,Raw,6.8,374
False,/c2oiRa7V3bQzof4wVGzLXtWJ5QU.jpg,"[10759, 16, 35, 10765, 10762, 10751]",65733,['JP'],ja,ドラえもん,"Robotic cat Doraemon is sent back in time from the 22nd century to protect 10-year-old Noby, a lazy and uncoordinated boy who is destined to have a tragic future. Doraemon can create secret gadgets from a pocket on his stomach, but they usually cause more bad than good because of Noby's propensity to misuse them.",246.1301,/9ZN1P32SHviL3SV51qLivxycvcx.jpg,2005-04-22,False,Doraemon,8.084,245
False,/s1dTt4M31q2HwD5Fkl1tf5tQzJg.jpg,[10766],206559,['ZA'],af,Binnelanders,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",251.6402,/3bzECfllho8PphdYujLUIuhncJD.jpg,2005-10-13,False,Binnelanders,5.5,112
False,/hHMWfDlqKisD5zVcZfz3KEw5U3v.jpg,"[18, 10751]",50821,['HU'],hu,Barátok közt,Miklós introduces viewers into the world of Money and Charm.,246.2181,/kBBbSgNchtMvsgD6z1oI1RRluHP.jpg,1998-10-26,False,Among Friends,3.775,20
False,/tNi2aJPdCKfielGYzIi3IKxStz9.jpg,"[10762, 35]",502,['US'],en,Sesame Street,"On a special inner city street, the inhabitants—human and muppet—teach preschoolers basic educational and social concepts using comedy, cartoons, games, and songs.",199.8953,/14k9BfZ2p4rQBMeJ5crKTfUZVwD.jpg,1969-11-10,False,Sesame Street,7.149,295
False,/tHZsAFdtNsKNxE58jopl9Eh4f7a.jpg,[10767],2221,['US'],en,The View,"ABC Daytime's morning chatfest, currently featuring Whoopi Goldberg, Joy Behar, Sunny Hostin, Sara Haines, Alyssa Farah Griffin, and Ana Navarro discussing the most exciting events of the day. Hot topics in the news, the best experts in their field, celebrity interviews and general entertainment are all part of The View.",242.4016,/pEUNIxCMh2jFjUj7u09f4O5CcR4.jpg,1997-08-11,False,The View,4.345,113
False,/cvlLBcQWpO9X21jDHhgPJnE2aVq.jpg,"[80, 18, 9648]",1431,['US'],en,CSI: Crime Scene Investigation,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",294.6825,/i5hmoRjHNWady4AtAGICTUXknKH.jpg,2000-10-06,False,CSI: Crime Scene Investigation,7.609,1436
False,/mLyW3UTgi2lsMdtueYODcfAB9Ku.jpg,[35],2316,['US'],en,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",252.7454,/7DJKHzAi83BmQrWLrYYOqcoKfhR.jpg,2005-03-24,False,The Office,8.582,5495
False,/7jEnft2CLNbILWAiBRIBrXNN7Qh.jpg,"[10767, 35]",498,['US'],en,Late Show with David Letterman,"David Letterman uses mature humor to appeal to his audience in this weeknight series, which gets its music from a house band led by Paul Shaffer. Among the show's most-famous segments are the Top Ten List and Stupid Pet Tricks, the latter of which subsequently led to an additional recurring segment called Stupid Human Tricks.",258.1663,/fTBC5EpsgKmli9VQcJMtqQ08Qj4.jpg,1993-08-30,False,Late Show with David Letterman,6.451,174
False,/nE94ejEbzNCU48bW1oju0dqBONz.jpg,"[18, 35]",97546,['US'],en,Ted Lasso,"Ted Lasso, an American football coach, moves to England when he's hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",241.2895,/uRHsiw1wLxPHFXkkv4Ix1s0O6f4.jpg,2020-08-14,False,Ted Lasso,8.4,2675
False,/wsHj4oHQJoe7DMYaqNFwVoyLiAh.jpg,"[35, 10764]",33238,['KR'],ko,런닝맨,"These days, as variety shows are gradually disappearing, this is one of Korea’s representative variety shows that has been responsible for Sunday evenings for over 10 years. This program features numerous stars and members going around various places, playing games, and completing missions. In particular, among the many fun elements of variety shows, this one focuses solely on laughter.

Open your eyes! Big fun is coming in!

Open your mouth! Big laughter is coming in!

Open your heart! Useful lessons are coming in!",265.6943,/2Wmmu1MkqxJ48J7aySET9EKEjXz.jpg,2010-07-11,False,Running Man,8.237,219
False,/6iNWfGVCEfASDdlNb05TP5nG0ll.jpg,"[80, 18, 35]",79744,['US'],en,The Rookie,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.",262.6404,/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg,2018-10-16,False,The Rookie,8.54,3541
False,/h0OC7ouop8YLwbAVfS3UUE2Lw4T.jpg,"[80, 18]",247718,"['GB', 'US']",en,MobLand,Two mob families clash in a war that threatens to topple empires and lives.,248.4724,/5Xc7WpWsgflfgEMoBlf9TmWhfbH.jpg,2025-03-30,False,MobLand,8.4,875
False,/sztoil0XfQ0cSHy4PXmYW6uAdfQ.jpg,[10764],65282,['KR'],ko,나 혼자 산다,"It can be a badge of honor to be “single.” “I Live Alone” is a documentary-style South Korean reality series that follows the members of a self-formed club called Rainbow, which is comprised of  celebrities who are single and live alone.",227.1205,/1hqGagr94soBq70Lq7tPHvNmmxy.jpg,2013-03-22,False,Home Alone,7.5,18
False,/j9fRIimor0AMFJR9kjZubXcABzZ.jpg,"[10759, 16, 10765]",94664,['JP'],ja,無職転生 ～異世界行ったら本気だす～,"When a 34-year-old underachiever gets run over by a truck, his story doesn't end there. Reincarnated in a new world as an infant, Rudy will seize every opportunity to live the life he's always wanted. Armed with new friends, some freshly acquired magical abilities, and the courage to do the things he's always dreamed of, he's embarking on an epic adventure—with all of his past experience intact!",284.5913,/gLKOYIMyKlUHW0SVdskhgf9C0yy.jpg,2021-01-11,False,Mushoku Tensei: Jobless Reincarnation,8.413,1727
False,/aSye04zKzWtUP3U6Cl4bOXc5Ih9.jpg,"[80, 18]",1911,['US'],en,Bones,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",243.1621,/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg,2005-09-13,False,Bones,8.176,3590
False,/s2qJb1FLwp1Mse9lY08JqgMp0kw.jpg,"[10764, 35]",5092,['KR'],ko,무한도전,"Infinite Challenge has been reported as the first ""Real-Variety"" show in Korean television history. The program is largely unscripted, and follows a similar format of challenge-based Reality Television programs, familiar to the audiences in the West, but the challenges are often silly, absurd, or impossible to achieve, so the program takes on the aspect of a satirical comedy variety show, rather than a more standard reality or contest program. In order to achieve its comedic purposes its 6 hosts and staff continuously proclaim, the elements of this show are the 3-Ds, Dirty, Dangerous, and Difficult.",222.5729,/3ZIPTvMnzI5ThmdGeEYQFxJV5Sg.jpg,2005-04-23,False,Infinite Challenge,7.7,20
False,/rWpPRmFRLWEpiP5pyeUqC8hS84N.jpg,"[35, 18, 10751]",54999,['FI'],fi,Uusi Päivä,"Set in the small town of Virtaus, the series follows the lives of the town’s residents—both young and old—through their joys and sorrows.",235.6315,/6S1Ic9YTc24azvC2XgIxSpcdEF2.jpg,2010-10-04,False,Uusi Päivä,5.3,3
False,Tidak tersedia,[10762],35007,['NL'],nl,De Fabeltjeskrant,"Fabeltjeskrant [ 'faːbəɫcəskrɑnt] is a Dutch children's television series featuring puppetry and stop motion. Created in 1968 by Leen Valkenier and produced by Thijs Chanowski and Loek de Levita, it ended in 1989 and was broadcast on the Dutch channels NOS, RTL 4 and RTL 8 and on Belgian channel VRT. From 1973 to 1975 it was broadcast also in the United Kingdom, on ITV, with the title The Daily Fable.",193.9426,/h2HFhwgU7xcIEpgDuuPHfh5NOVZ.jpg,1968-09-29,False,The Daily Fable,8.0,5
False,/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg,"[18, 80]",1396,['US'],en,Breaking Bad,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",247.126,/anFx9aTOOYqgS3v7x3R84Kz67ly.jpg,2008-01-20,False,Breaking Bad,8.952,18674
False,/7Vpk75SxS86Ai7o2iilJUz5rx4x.jpg,"[10766, 35, 18]",14424,['BR'],pt,Malhação,"Malhação is a Brazilian television series for the teenage audience. The soap started in 1995, and was set in a fictional Gym Club called Malhação on Barra da Tijuca, Rio de Janeiro. Through the years the location varied slightly. Although the name of the soap remains the same, it is now set in the Múltipla Escolha High School.",242.1333,/bF24r2FxsjzgkJcrbBU8RC9JVoU.jpg,1995-04-24,False,Young Hearts,6.3,38
False,/o0NsbcIvsllg6CJX0FBFY8wWbsn.jpg,"[10759, 16, 10765]",30984,['JP'],ja,BLEACH,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",216.7669,/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg,2004-10-05,False,Bleach,8.3,2276
False,/cJYLon9ejKJV7ua03ab8Tj9u067.jpg,"[18, 10765]",18165,['US'],en,The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",192.6482,/b3vl6wV1W8PBezFfntKTrhrehCY.jpg,2009-09-10,False,The Vampire Diaries,8.3,9768
False,/sgE2evtpaP5b9tavrgYCy2nKYLT.jpg,[10764],52910,['KR'],ko,김병만의 정글의 법칙,"Law of the Jungle is a hybrid reality show combining elements of drama and documentary. The show is hosted by comedian Kim Byung Man, and each episode invites various celebrities from the various field. So far, many of idol stars and famous actors have appeared on the show. The show introduces viewers to exotic locations around the world where celebrities must work together in order to complete missions and survive. The cast celebrities travel to less habituated, natural places to survive on their own and experience life with local tribes and people. In each location, the guests are tasked to hunt and prepare their meals and also create shelter for the tribe. They sometimes confronted by many difficult challenges. Where will the tribe visit? And how will they survive on their own? Stay tuned to check out!",191.3527,/zgMOq3H27nYikqjykeXCIIFRbjK.jpg,2011-10-21,False,Law of the Jungle,5.7,10
False,/pNdUVPm6RwvG9Ycd2cuYpLbM7lk.jpg,"[35, 10764]",78648,['KR'],ko,놀라운 토요일,"A group of hungry celebrities listen to poppin’ tunes, from recent hits to all-time-favorites, to correctly dictate a part of the lyrics.

The songs may sound familiar, but the part they must dictate are unclear to the naked ear, as the lyrics are slurred, muffled by strong beats, etc.

If they get the lyrics right, they get to share exquisite regional dishes. But if they get them wrong, a professional eater gobbles it up instead.",177.0905,/nEwybsfZBSPjcZamPpKDTaTI5g.jpg,2018-04-07,False,Amazing Saturday,7.6,10
False,/fQGrzO0Iwo7CO4b2zVdJLkcnhwK.jpg,"[10765, 18]",125988,['US'],en,Silo,"In a ruined and toxic future, thousands live in a giant silo deep underground. After its sheriff breaks a cardinal rule and residents die mysteriously, engineer Juliette starts to uncover shocking secrets and the truth about the silo.",207.7989,/gMYZZvnkVNTqSVnVCphWbPXwWwb.jpg,2023-05-04,False,Silo,8.221,2708
False,/u4oCL0YEl2vGH7J42QyqLgzyuKR.jpg,[10766],6489,['PL'],pl,Klan,"Family is the most important thing, and the children of Władysław and Maria Lubicz from Warsaw can always count on each other, no matter what surprises life offers.",160.2602,/vuSKqHmKLrKG2AYFOyQ4Ci9wTAj.jpg,1997-09-22,False,Klan,5.455,11
False,/zZqpAXxVSBtxV9qPBcscfXBcL2w.jpg,"[10765, 18, 10759]",1399,['US'],en,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",214.3047,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,2011-04-17,False,Game of Thrones,8.5,27796
False,/ksNrsIkIwFKpetIyiUA7kBSBKvC.jpg,[10766],11890,['NL'],nl,"Goede Tijden, Slechte Tijden","Goede tijden, slechte tijden, also known as GTST, is the longest-running Dutch soap opera,  revolving around the lives of the families Alberts, Sanders, De Jong, Van Houten and Bouwhuis. It all takes place in the fictional town of Meerdijk.",222.9697,/p1oXgtJ0q0wAcEp3tHA5DpiynxL.jpg,1990-10-01,False,"Goede Tijden, Slechte Tijden",5.3,21
